NeuronA,NeuronB,Relatedness
ADEL,RICR,17.0
ADEL,RID,18.0
ADEL,RIFL,15.0
ADEL,RIFR,17.0
ADEL,RIGL,14.0
ADEL,RIGR,16.0
ADEL,RIH,16.0
ADEL,RIML,14.0
ADEL,RIMR,16.0
ADEL,RIPL,18.0
ADEL,RIPR,16.0
ADEL,RIR,16.0
ADEL,RIS,16.0
ADEL,RIVL,14.0
ADEL,RIVR,16.0
ADEL,RMDDL,18.0
ADEL,RMDDR,18.0
ADEL,RMDL,18.0
ADEL,RMDR,16.0
ADEL,RMDVL,18.0
ADEL,RMDVR,18.0
ADEL,RMED,18.0
ADEL,RMEL,18.0
ADEL,RMER,18.0
ADEL,RMEV,14.0
ADEL,RMFL,7.0
ADEL,RMFR,7.0
ADEL,RMGL,4.0
ADEL,RMGR,16.0
ADEL,RMHL,17.0
ADEL,RMHR,17.0
ADEL,SAADL,18.0
ADEL,SAADR,18.0
ADEL,SAAVL,14.0
ADEL,SAAVR,16.0
ADEL,SABD,14.0
ADEL,SABVL,15.0
ADEL,SABVR,17.0
ADEL,SDQL,11.0
ADEL,SDQR,19.0
ADEL,SIADL,14.0
ADEL,SIADR,16.0
ADEL,SIAVL,14.0
ADEL,SIAVR,16.0
ADEL,SIBDL,14.0
ADEL,SIBDR,16.0
ADEL,SIBVL,14.0
ADEL,SIBVR,16.0
ADEL,SMBDL,19.0
ADEL,SMBDR,19.0
ADEL,SMBVL,18.0
ADEL,SMBVR,18.0
ADEL,SMDDL,14.0
ADEL,SMDDR,16.0
ADEL,SMDVL,18.0
ADEL,SMDVR,18.0
ADEL,URADL,12.0
ADEL,URADR,18.0
ADEL,URAVL,14.0
ADEL,URAVR,16.0
ADEL,URBL,12.0
ADEL,URBR,16.0
ADEL,URXL,13.0
ADEL,URXR,19.0
ADEL,URYDL,18.0
ADEL,URYDR,18.0
ADEL,URYVL,14.0
ADEL,URYVR,16.0
ADEL,VA01,17.0
ADEL,VA02,9.0
ADEL,VA03,19.0
ADEL,VA04,13.0
ADEL,VA05,19.0
ADEL,VA06,13.0
ADEL,VA07,19.0
ADEL,VA08,13.0
ADEL,VA09,19.0
ADEL,VA10,11.0
ADEL,VA11,11.0
ADEL,VA12,19.0
ADEL,VB01,19.0
ADEL,VB02,18.0
ADEL,VB03,9.0
ADEL,VB04,19.0
ADEL,VB05,13.0
ADEL,VB06,19.0
ADEL,VB07,13.0
ADEL,VB08,19.0
ADEL,VB09,13.0
ADEL,VB10,19.0
ADEL,VB11,11.0
ADEL,VC01,18.0
ADEL,VC02,12.0
ADEL,VC03,18.0
ADEL,VC04,12.0
ADEL,VC05,18.0
ADEL,VD01,17.0
ADEL,VD02,18.0
ADEL,VD03,8.0
ADEL,VD04,18.0
ADEL,VD05,12.0
ADEL,VD06,18.0
ADEL,VD07,12.0
ADEL,VD08,18.0
ADEL,VD09,12.0
ADEL,VD10,18.0
ADEL,VD11,10.0
ADEL,VD12,10.0
ADEL,VD13,18.0
ADER,ADFL,18.0
ADER,ADFR,12.0
ADER,ADLL,18.0
ADER,ADLR,12.0
ADER,AFDL,18.0
ADER,AFDR,12.0
ADER,AIAL,16.0
ADER,AIAR,14.0
ADER,AIBL,16.0
ADER,AIBR,12.0
ADER,AIML,16.0
ADER,AIMR,14.0
ADER,AINL,18.0
ADER,AINR,18.0
ADER,AIYL,16.0
ADER,AIYR,14.0
ADER,AIZL,17.0
ADER,AIZR,5.0
ADER,ALA,18.0
ADER,ALML,18.0
ADER,ALMR,18.0
ADER,ALNL,18.0
ADER,ALNR,10.0
ADER,AQR,10.0
ADER,AS01,8.0
ADER,AS02,18.0
ADER,AS03,12.0
ADER,AS04,18.0
ADER,AS05,12.0
ADER,AS06,18.0
ADER,AS07,12.0
ADER,AS08,18.0
ADER,AS09,10.0
ADER,AS10,18.0
ADER,AS11,18.0
ADER,ASEL,19.0
ADER,ASER,13.0
ADER,ASGL,16.0
ADER,ASGR,12.0
ADER,ASHL,16.0
ADER,ASHR,14.0
ADER,ASIL,17.0
ADER,ASIR,13.0
ADER,ASJL,19.0
ADER,ASJR,13.0
ADER,ASKL,19.0
ADER,ASKR,13.0
ADER,AUAL,19.0
ADER,AUAR,13.0
ADER,AVAL,18.0
ADER,AVAR,18.0
ADER,AVBL,16.0
ADER,AVBR,14.0
ADER,AVDL,18.0
ADER,AVDR,18.0
ADER,AVEL,18.0
ADER,AVER,12.0
ADER,AVFL,8.0
ADER,AVFR,9.0
ADER,AVG,14.0
ADER,AVHL,18.0
ADER,AVHR,18.0
ADER,AVJL,18.0
ADER,AVJR,18.0
ADER,AVKL,16.0
ADER,AVKR,14.0
ADER,AVL,14.0
ADER,AVM,11.0
ADER,AWAL,16.0
ADER,AWAR,12.0
ADER,AWBL,18.0
ADER,AWBR,12.0
ADER,AWCL,16.0
ADER,AWCR,14.0
ADER,BAGL,18.0
ADER,BAGR,18.0
ADER,BDUL,18.0
ADER,BDUR,18.0
ADER,CEPDL,17.0
ADER,CEPDR,19.0
ADER,CEPVL,17.0
ADER,CEPVR,15.0
ADER,DA01,14.0
ADER,DA02,16.0
ADER,DA03,14.0
ADER,DA04,16.0
ADER,DA05,14.0
ADER,DA06,16.0
ADER,DA07,14.0
ADER,DA08,14.0
ADER,DA09,16.0
ADER,DB01,16.0
ADER,DB02,18.0
ADER,DB03,14.0
ADER,DB04,14.0
ADER,DB05,16.0
ADER,DB06,16.0
ADER,DB07,14.0
ADER,DD01,16.0
ADER,DD02,14.0
ADER,DD03,16.0
ADER,DD04,14.0
ADER,DD05,16.0
ADER,DD06,14.0
ADER,DVA,14.0
ADER,DVB,17.0
ADER,DVC,18.0
ADER,FLPL,17.0
ADER,FLPR,5.0
ADER,HSNL,17.0
ADER,HSNR,11.0
ADER,IL1DL,19.0
ADER,IL1DR,19.0
ADER,IL1L,19.0
ADER,IL1R,19.0
ADER,IL1VL,19.0
ADER,IL1VR,19.0
ADER,IL2DL,18.0
ADER,IL2DR,18.0
ADER,IL2L,18.0
ADER,IL2R,18.0
ADER,IL2VL,18.0
ADER,IL2VR,18.0
ADER,LUAL,17.0
ADER,LUAR,15.0
ADER,OLLL,19.0
ADER,OLLR,13.0
ADER,OLQDL,19.0
ADER,OLQDR,19.0
ADER,OLQVL,17.0
ADER,OLQVR,15.0
ADER,PDA,14.0
ADER,PDB,10.0
ADER,PDEL,20.0
ADER,PDER,12.0
ADER,PHAL,16.0
ADER,PHAR,14.0
ADER,PHBL,17.0
ADER,PHBR,11.0
